Scenario,Cout (EUR/MWh),Modele,P&L brut (EUR/MW),P&L net (EUR/MW),Sharpe brut,Sharpe net (daily),Max Drawdown,Calmar net,Win Rate (%),Profit Factor,Heures actives,Cost Drag (%)
optimiste,0.1,Naif lag-168h,87936.0,87118.0,10.84,10.73,2349.0,37.6,62.4,2.71,8180,0.9
optimiste,0.1,RF sans meteo,139150.0,138394.0,19.74,19.64,420.0,334.17,75.0,7.25,7553,0.5
optimiste,0.1,RF avec meteo,138971.0,138218.0,19.76,19.66,410.0,342.08,75.0,7.27,7536,0.5
optimiste,0.1,XGBoost,144403.0,143606.0,19.08,18.98,1323.0,110.02,75.4,7.31,7970,0.6
central,0.3,Naif lag-168h,87936.0,85482.0,10.84,10.53,2367.0,36.61,62.0,2.66,8180,2.8
central,0.3,RF sans meteo,139150.0,136884.0,19.74,19.44,433.0,320.59,74.6,7.07,7553,1.6
central,0.3,RF avec meteo,138971.0,136711.0,19.76,19.46,422.0,328.26,74.6,7.09,7536,1.6
central,0.3,XGBoost,144403.0,142012.0,19.08,18.78,1351.0,106.61,74.9,7.13,7970,1.7
pessimiste,0.6,Naif lag-168h,87936.0,83028.0,10.84,10.23,2395.0,35.15,61.4,2.58,8180,5.6
pessimiste,0.6,RF sans meteo,139150.0,134618.0,19.74,19.14,452.0,301.7,74.0,6.82,7553,3.3
pessimiste,0.6,RF avec meteo,138971.0,134450.0,19.76,19.16,441.0,309.0,74.1,6.84,7536,3.3
pessimiste,0.6,XGBoost,144403.0,139621.0,19.08,18.47,1391.0,101.74,74.4,6.88,7970,3.3
